id,brand,category,rating,number_of_reviews,love,price,value_price,exclusive
50,SEPHORA COLLECTION,no category,5,46,0,50,50,0
304,SEPHORA COLLECTION,no category,0,0,0,50,50,0
404,SEPHORA COLLECTION,no category,0,0,0,50,50,0
443,SEPHORA COLLECTION,no category,0,0,0,50,50,0
463,SEPHORA COLLECTION,no category,0,0,0,50,50,0
6528,Givenchy,Perfume,4.5,94,3000,78,78,0
7393,BVLGARI,Cologne,5,31,3300,94,94,0
7740,Yves Saint Laurent,Perfume,4.5,164,4200,62,62,0
11023,Carolina Herrera,Perfume,4.5,127,2900,86,86,0
12104,Estée Lauder,Perfume,5,20,2200,85,85,0
12450,Estée Lauder,Perfume,5,24,3400,98,98,0
12658,Guerlain,Perfume,4.5,36,2600,144,144,0
13383,DOLCE&GABBANA,Cologne,4.5,116,1800,90,90,0
43620,CHANEL,Perfume,5,14,2900,85,,0
43687,CHANEL,Perfume,3.5,7,4300,130,130,0
47191,CLINIQUE,Face Wash & Cleansers,4.5,375,5400,15.5,15.5,0
47860,CLINIQUE,Face Wash & Cleansers,4.5,769,12300,22,22,0
47936,CLINIQUE,Exfoliators,4.5,776,,23,23,0
48041,CLINIQUE,Makeup Removers,4.5,522,6900,19.5,19.5,0
48074,CLINIQUE,Makeup Removers,4.5,3000,69300,19.5,19.5,0
48579,CLINIQUE,Lip Balms & Treatments,4,167,5800,26.5,26.5,0
49890,CHANEL,Perfume,5,13,2300,,85,0
50492,CLINIQUE,Perfume,4.5,630,15500,53,53,0
50534,CLINIQUE,Face Wash,4.5,28,1300,16,16,0
50765,CLINIQUE,Moisturizer & Treatments,4.5,47,,16,16,0
50823,CHANEL,Cologne,,28,3000,75,75,0
50997,CLINIQUE,Face Wash,4.5,160,3700,21,21,0
51029,CLINIQUE,Shaving,4.5,35,789,18.5,18.5,0
51052,CLINIQUE,Aftershave,5,41,2300,22.5,22.5,0
51078,CLINIQUE,Self Tanners,4.5,52,959,21,21,0
51532,CLINIQUE,Setting Spray & Powder,4.5,603,15500,28.5,28.5,0
51573,CLINIQUE,Foundation,4.5,1000,34800,28.5,28.5,0
51904,CLINIQUE,Foundation,4.5,674,20800,28.5,28.5,0
52852,CLINIQUE,Foundation,4,911,19200,28.5,28.5,0
54312,CLINIQUE,Blush,4,94,3000,25,25,0
55780,CLINIQUE,Mascara,4.5,,11300,19.5,19.5,0
70680,CLINIQUE,Lipstick,4.5,3000,,19.5,19.5,0
71571,CLINIQUE,Lip Liner,4.5,260,8400,18.5,18.5,0
74476,Clarins,Moisturizers,4.5,258,11200,49,49,0
74609,Clarins,Cellulite & Stretch Marks,4.5,14,4800,66,66,0
74773,Clarins,Cellulite & Stretch Marks,4.5,224,16900,,66,0
75002,Clarins,Hand Cream & Foot Cream,4.5,241,5500,30,30,0
